1,355,247.33
2,886,249.36
3,1397,243.45
4,1882,245.79
5,2194,240.62
6,2377,240.16
7,2490,240.31
8,2556,239.99
9,2588,240.94
10,2613,240.58
1,355,235.14
2,885,235.19
3,1400,236.51
4,1897,236.42
5,2194,237.75
6,2369,238.98
7,2489,237.67
8,2556,237.11
9,2590,237.33
10,2623,238.53
1,355,235.05
2,887,235.44
3,1399,235.13
4,1885,235.89
5,2187,236.98
6,2373,236.67
7,2490,237.25
8,2556,237.46
9,2590,237.5
10,2622,237.48
1,355,237.01
2,883,234.64
3,1398,235.2
4,1884,235.76
5,2190,236.74
6,2373,237.76
7,2492,238.26
8,2551,237.75
9,2593,238.98
10,2620,236.44
1,355,235.13
2,884,235.11
3,1403,234.71
4,1882,236.64
5,2193,237.69
6,2383,235.95
7,2483,240.15
8,2554,237.15
9,2591,238.41
10,2610,238.3
